id,name,inves,ret,color
1,二化螟,鳞翅目,L1,#000000
2,稻纵卷叶螟,鳞翅目,L2,#00005f
3,黄纹银草螟,鳞翅目,L3,#000087
4,黄杨绢野螟,鳞翅目,L4,#0000af
5,褚翅叉环野螟,鳞翅目,L5,#0000d7
6,白蜡绢须野螟,鳞翅目,L6,#0000ff
7,橄绿歧角螟,鳞翅目,L7,#005f00
8,黑纹歧角螟,鳞翅目,L8,#005f5f
9,大螟,鳞翅目,L9,#005f87
10,银纹夜蛾,鳞翅目,L10,#005faf
11,劳氏粘虫,鳞翅目,L11,#005fd7
12,陌夜蛾,鳞翅目,L12,#005fff
13,温杉冬夜蛾,鳞翅目,L13,#008700
14,间纹德夜蛾,鳞翅目,L14,#00875f
15,朽木夜蛾,鳞翅目,L15,#008787
16,灰歹夜蛾,鳞翅目,L16,#0087af
17,小地老虎,鳞翅目,L17,#0087d7
18,白斑烦夜蛾,鳞翅目,L18,#0087ff
19,茶色狭翅夜蛾,鳞翅目,L19,#00af00
20,鸟嘴壶夜蛾,鳞翅目,L20,#00af5f
21,苎麻夜蛾,鳞翅目,L21,#00af87
22,绿尾大蚕蛾,鳞翅目,L22,#00afaf
23,丝棉木金星尺蛾,鳞翅目,L23,#00afd7
24,雪尾尺蛾,鳞翅目,L24,#00afff
25,斑雅尺蛾,鳞翅目,L25,#00d700
26,红天蛾,鳞翅目,L26,#00d75f
27,构月天蛾,鳞翅目,L27,#00d787
28,雀纹天蛾,鳞翅目,L28,#00d7af
29,甘薯天蛾,鳞翅目,L29,#00d7d7
30,红六点天蛾,鳞翅目,L30,#00d7ff
31,丁香天蛾,鳞翅目,L31,#00ff00
32,霜天蛾,鳞翅目,L32,#00ff5f
33,葡萄缺角天蛾,鳞翅目,L33,#00ff87
34,人纹污灯蛾,鳞翅目,L34,#00ffaf
35,八点灰灯蛾,鳞翅目,L35,#00ffd7
36,之美苔蛾,鳞翅目,L36,#00ffff
37,优美苔蛾,鳞翅目,L37,#5f0000
38,大丽灯蛾,鳞翅目,L38,#5f005f
39,重阳木锦斑蛾,鳞翅目,L39,#5f0087
40,玉米螟,鳞翅目,L40,#5f00af
41,桃蛀螟,鳞翅目,L41,#5f00d7
42,瓜绢野螟,鳞翅目,L42,#5f00ff
43,甜菜白带野螟,鳞翅目,L43,#5f5f00
44,豆荚螟,鳞翅目,L44,#5f5f5f
45,黄金镰翅野螟,鳞翅目,L45,#5f5f87
46,稻螟蛉,鳞翅目,L46,#5f5faf
47,斜纹夜蛾,鳞翅目,L47,#5f5fd7
48,南方锞夜蛾,鳞翅目,L48,#5f5fff
49,粉纹夜蛾,鳞翅目,L49,#5f8700
50,白条夜蛾,鳞翅目,L50,#5f875f
51,粘虫,鳞翅目,L51,#5f8787
52,钻夜蛾,鳞翅目,L52,#5f87af
53,粉纹钻夜蛾,鳞翅目,L53,#5f87d7
54,玫瑰巾夜蛾,鳞翅目,L54,#5f87ff
55,臭椿皮蛾,鳞翅目,L55,#5faf00
56,畸夜蛾,鳞翅目,L56,#5faf5f
57,流夜蛾,鳞翅目,L57,#5faf87
58,委夜蛾,鳞翅目,L58,#5fafaf
59,棉铃虫,鳞翅目,L59,#5fafd7
60,烟青虫,鳞翅目,L60,#5fafff
61,银杏珠天蚕蛾,鳞翅目,L61,#5fd700
62,棕线燕蛾,鳞翅目,L62,#5fd75f
63,猫眼尺蛾,鳞翅目,L63,#5fd787
64,三角璃尺蛾,鳞翅目,L64,#5fd7af
65,小豆长喙天蛾,鳞翅目,L65,#5fd7d7
66,九节木长喙天蛾,鳞翅目,L66,#5fd7ff
67,大星天蛾,鳞翅目,L67,#5fff00
68,枣桃六点天蛾,鳞翅目,L68,#5fff5f
69,枣核鹰翅天蛾,鳞翅目,L69,#5fff87
70,土色苔蛾,鳞翅目,L70,#5fffaf
71,代步土苔蛾,鳞翅目,L71,#5fffd7
72,黄土苔蛾,鳞翅目,L72,#5fffff
73,缘点苔蛾,鳞翅目,L73,#870000
74,曲苔蛾,鳞翅目,L74,#87005f
75,戟盗毒蛾,鳞翅目,L75,#870087
76,黄毒蛾,鳞翅目,L76,#8700af
77,榆掌舟蛾,鳞翅目,L77,#8700d7
78,核桃美舟蛾,鳞翅目,L78,#8700ff
79,杨二尾舟蛾,鳞翅目,L79,#875f00
80,咖啡木蠹蛾,鳞翅目,L80,#875f5f
81,三化螟,鳞翅目,L81,#875f87
82,稻巢草螟,鳞翅目,L82,#875faf
83,台湾稻螟,鳞翅目,L83,#875fd7
84,八字地老虎,鳞翅目,L84,#875fff
85,黄地老虎,鳞翅目,L85,#878700
86,草地贪夜蛾,鳞翅目,L86,#87875f
87,二点委夜蛾,鳞翅目,L87,#878787
88,地老虎,鳞翅目,L88,#8787af
89,豆野螟,鳞翅目,L89,#8787d7
90,草地螟,鳞翅目,L90,#8787ff
91,豆荚斑螟,鳞翅目,L91,#87af00
92,尖锥额野螟,鳞翅目,L92,#87af5f
93,甜菜夜蛾,鳞翅目,L93,#ff0000
94,黑条灰灯蛾,鳞翅目,L94,#87afaf
95,豆毒蛾,鳞翅目,L95,#87afd7
96,瘦银锭夜蛾,鳞翅目,L96,#87afff
97,甘蓝夜蛾,鳞翅目,L97,#87d700
98,棉大卷叶螟,鳞翅目,L98,#87d75f
99,大造桥虫,鳞翅目,L99,#87d787
100,谐夜蛾,鳞翅目,L100,#87d7af
101,甘薯麦蛾,鳞翅目,L101,#87d7d7
102,旋歧夜蛾,鳞翅目,L102,#87d7ff
103,亚麻篱灯蛾,鳞翅目,L103,#87ff00
104,小菜蛾,鳞翅目,L104,#87ff5f
105,宽胫夜蛾,鳞翅目,L105,#87ff87
106,涓夜蛾,鳞翅目,L106,#87ffaf
107,麦牧野螟,鳞翅目,L107,#87ffd7
108,早熟禾拟茎草螟,鳞翅目,L108,#87ffff
109,干纹冬夜蛾,鳞翅目,L109,#af0000
110,歧角螟,鳞翅目,L110,#af005f
111,石蛾,鳞翅目,L111,#af0087
112,线委夜蛾,鳞翅目,L112,#af00af
113,白肾俚夜蛾,鳞翅目,L113,#af00d7
114,标瑙夜蛾,鳞翅目,L114,#af00ff
115,乏夜蛾,鳞翅目,L115,#af5f00
116,紫条尺蛾,鳞翅目,L116,#af5f5f
117,水螟科,鳞翅目,L117,#af5f87
118,虚俚夜蛾,鳞翅目,L118,#af5faf
119,白点暗野螟,鳞翅目,L119,#af5fd7
120,灯蛾科,鳞翅目,L120,#af5fff
121,绿刺蛾,鳞翅目,L121,#af8700
122,褛裳夜蛾,鳞翅目,L122,#af875f
123,扁刺蛾,鳞翅目,L123,#af8787
124,榆黄足毒蛾,鳞翅目,L124,#af87af
125,杨扇舟蛾,鳞翅目,L125,#af87d7
126,杨小舟蛾,鳞翅目,L126,#af87ff
127,黄翅缀叶野螟,鳞翅目,L127,#afaf00
128,细条纹野螟,鳞翅目,L128,#afaf5f
129,旱柳原野螟,鳞翅目,L129,#afaf87
130,杨雪毒蛾,鳞翅目,L130,#afafaf
131,盗毒蛾,鳞翅目,L131,#afafd7
132,榆绿天蛾,鳞翅目,L132,#afafff
133,春尺蠖,鳞翅目,L133,#afd700
134,楸蠹野螟,鳞翅目,L134,#afd75f
135,桑螟,鳞翅目,L135,#afd787
136,美国白蛾,鳞翅目,L136,#afd7af
137,红云翅斑螟,鳞翅目,L137,#afd7d7
138,榆白边舟蛾,鳞翅目,L138,#afd7ff
139,竹大黄野螟,鳞翅目,L139,#afff00
140,金黄镰翅野螟,鳞翅目,L140,#afff5f
141,竹螟,鳞翅目,L141,#afff87
142,松毛虫属,鳞翅目,L142,#afffaf
143,卷叶蛾科,鳞翅目,L143,#afffd7
144,青尺蛾,鳞翅目,L144,#afffff
145,黄毒蛾属,鳞翅目,L145,#d70000
146,鹿蛾,鳞翅目,L146,#d7005f
147,白毒蛾属,鳞翅目,L147,#d70087
148,槐尺蛾,鳞翅目,L148,#d700af
149,四斑绢野螟,鳞翅目,L149,#d700d7
150,中带三角夜蛾,鳞翅目,L150,#d700ff
151,美苔蛾属,鳞翅目,L151,#d75f00
152,苔蛾科,鳞翅目,L152,#d75f5f
153,黑纹黄灯蛾,鳞翅目,L153,#d75f87
154,草雪苔蛾,鳞翅目,L154,#d75faf
155,姬尺蛾,鳞翅目,L155,#d75fd7
156,钻夜蛾属,鳞翅目,L156,#d75fff
157,桑绢野螟,鳞翅目,L157,#d78700
158,瓜绢螟,鳞翅目,L158,#d7875f
159,东方粘虫,鳞翅目,L159,#d78787
160,警纹地老虎,鳞翅目,L160,#d787af
161,梨小食心虫,鳞翅目,L161,#d787d7
162,黄字地老虎,鳞翅目,L162,#d787ff
163,异美苔蛾,鳞翅目,L163,#d7af00
164,豆天蛾,鳞翅目,L164,#d7af5f
165,灰土苔蛾,鳞翅目,L165,#d7af87
166,顶斑内弧尺蛾,鳞翅目,L166,#d7afaf
167,豆卷叶螟,鳞翅目,L167,#d7afd7
168,四点土苔蛾,鳞翅目,L168,#d7afff
169,红缘灯蛾,鳞翅目,L169,#d7d700
170,掌夜蛾,鳞翅目,L170,#d7d75f
171,青翅蚁形隐翅甲,鞘翅目,Q1,#d7d787
172,瓢甲类,鞘翅目,Q2,#d7d7af
173,荧叶甲,鞘翅目,Q3,#d7d7d7
174,龙虱科,鞘翅目,Q4,#d7d7ff
175,黑绒鳃金龟,鞘翅目,Q5,#d7ff00
176,暗黑鳃金龟,鞘翅目,Q6,#d7ff5f
177,铜绿丽金龟,鞘翅目,Q7,#d7ff87
178,二叉犀金龟,鞘翅目,Q8,#d7ffaf
179,天牛科,鞘翅目,Q9,#d7ffd7
180,青步甲,鞘翅目,Q10,#d7ffff
181,大黑鳃金龟,鞘翅目,Q11,#ff0000
182,金龟科,鞘翅目,Q12,#ff005f
184,隐翅虫科,鞘翅目,Q14,#ff00af
185,褐角庶尺蛾,鞘翅目,Q15,#ff00d7
186,埋葬甲,鞘翅目,Q16,#ff00ff
187,灰胸突鳃金龟,鞘翅目,Q17,#ff5f00
188,叩甲科,鞘翅目,Q18,#ff5f5f
189,蝼蛄,直翅目,Z1,#ff5f87
190,蝗虫,直翅目,Z2,#ff5faf
191,蟋蟀,直翅目,Z3,#ff5fd7
192,大红蝽,半翅目,B1,#ff5fff
193,黑环土蝽,半翅目,B2,#ff8700
194,黄足猎蝽,半翅目,B3,#ff875f
195,褐飞虱属,半翅目,B4,#d70000
196,白背飞虱,半翅目,B5,#ff87af
197,灰飞虱,半翅目,B6,#5f00ff
198,双斑痕叶蝉,半翅目,B7,#ff87ff
199,茶翅蝽,半翅目,B8,#ffaf00
200,稻绿蝽,半翅目,B9,#ffaf5f
201,大鳖土蝽,半翅目,B10,#ffaf87
202,稻棘缘蝽,半翅目,B11,#ffafaf
203,黑尾叶蝉,半翅目,B12,#000000
204,电光叶蝉,半翅目,B13,#ff9300
205,绿盲蝽,半翅目,B14,#ffd700
206,珀蝽,半翅目,B15,#ffd75f
207,柳蓝叶甲,半翅目,B16,#ffd787
208,突背斑红蝽,半翅目,B17,#ffd7af
209,小绿叶蝉,半翅目,B18,#ffd7d7
210,稻黑蝽,半翅目,B19,#ffd7ff
211,草蛉,脉翅目,M1,#ffff00
228,负子蝽,半翅目,B20,#ffff5f
229,寄生蜂类,膜翅目,MO1,#ffff87
230,中金翅夜蛾,鞘翅目,Q19,#ffffaf
231,泛尺蛾,鳞翅目,L171,#ffffd7
232,暗纹切叶野螟,鳞翅目,L172,#ffffff
233,虎甲科,鞘翅目,Q20,#000000
234,白沟小卷蛾,鳞翅目,L173,#00005f
235,条逮步甲,鞘翅目,Q21,#000087
236,灰白条小卷蛾,鳞翅目,L174,#0000af
237,榛花翅小卷蛾,鳞翅目,L175,#0000d7
238,红颜秀腰尺蛾,鳞翅目,L176,#0000ff
239,芋单线天蛾,鳞翅目,L177,#005f00
240,隐翅甲类,鞘翅目,Q22,#005f5f
241,红脊胸牙甲,鞘翅目,Q23,#005f87
242,狼夜蛾,鳞翅目,L178,#005faf
243,中金弧夜蛾,鳞翅目,L179,#005fd7
244,黄刺蛾,鳞翅目,L180,#005fff
245,道纹夜蛾,鳞翅目,L181,#008700
246,稻象甲,鞘翅目,Q24,#00875f
247,东亚小花蝽,半翅目,B21,#008787
248,黄翅大白蚁,半翅目,B22,#0087af
249,叶蝉科,半翅目,B23,#0087d7
250,胡蜂科,膜翅目,MO2,#0087ff
251,螽斯科,直翅目,Z4,#00af00
252,蜻蜓,蜻蜓目,QT1,#00af5f
253,松村大马蝉,半翅目,B24,#00af87
254,慈螋,革翅目,GE1,#00afaf
255,樟颈曼盲蝽,半翅目,B25,#00afd7
256,粉蝶灯蛾,鳞翅目,L182,#00afff
257,鳃金龟亚科,鞘翅目,Q25,#00d700
258,蓑蛾科,鳞翅目,L183,#00d75f
259,蝽科,半翅目,B26,#00d787
260,山竹缘蝽,半翅目,B27,#00d7af
261,直翅目,直翅目,Z5,#00d7d7
262,长鼻蜡蝉,半翅目,B28,#00d7ff
263,蝉科,半翅目,S1,#00ff00
264,蜉蝣,蜉蝣目,FY1,#00ff5f
265,澳洲大蠊,蜚蠊目,FL1,#00ff87
266,印度谷螟,鳞翅目,L184,#00ffaf
267,天蛾科,鳞翅目,L185,#00ffd7
268,黄后夜蛾,鳞翅目,L186,#00ffff
269,巨黄美苔蛾,鳞翅目,L187,#5f0000
270,卷蛾科,鳞翅目,L188,#5f005f
271,艳刺蛾,鳞翅目,L189,#5f0087
272,夜蛾科,鳞翅目,L353,#5f00af
273,黑点贪夜蛾,鳞翅目,L190,#5f00d7
274,鳞翅目,鳞翅目,L191,#5f00ff
275,漆尾夜蛾,鳞翅目,L192,#5f5f00
276,螟蛾科,鳞翅目,L193,#5f5f5f
277,毒蛾科,鳞翅目,L194,#5f5f87
279,葡萄透翅蛾,鳞翅目,L196,#5f5fd7
280,小筒水螟,鳞翅目,L197,#5f5fff
282,衣蛾,鳞翅目,L199,#5f875f
283,豆髯须夜蛾,鳞翅目,L200,#5f8787
284,毛穿孔尺蛾,鳞翅目,L201,#5f87af
285,黑点蚀叶野螟,鳞翅目,L202,#5f87d7
286,川灰长翅卷蛾,鳞翅目,L203,#5f87ff
287,吉安氏簑水螟,鳞翅目,L204,#5faf00
288,舟蛾科,鳞翅目,L205,#5faf5f
289,海绿尺蛾,鳞翅目,L206,#5faf87
290,樟翠尺蛾,鳞翅目,L207,#5fafaf
291,基褐绿刺蛾,鳞翅目,L208,#5fafd7
292,巨艳青尺蛾,鳞翅目,L209,#5fafff
293,苜蓿巢螟,鳞翅目,L210,#5fd700
294,毛翅目,毛翅目,MAO1,#5fd75f
295,泥蜂科,膜翅目,MO3,#5fd787
296,细足捷蚁,膜翅目,MO4,#5fd7af
297,黑泥蜂,膜翅目,MO5,#5fd7d7
298,叶甲科,鞘翅目,Q26,#5fd7ff
299,无霸大蚊,双翅目,S2,#5fff00
300,银纹长角石蛾,毛翅目,MAO2,#5fff5f
301,埃氏通缘步甲,鞘翅目,Q27,#5fff87
302,黄脚胡蜂,膜翅目,MO6,#5fffaf
303,东方蜜蜂,膜翅目,MO7,#5fffd7
304,柯氏素菌瓢虫,鞘翅目,Q28,#5fffff
305,高山天牛,鞘翅目,Q29,#870000
306,葬甲科,鞘翅目,Q30,#87005f
307,锐宽突龙虱,鞘翅目,Q31,#870087
309,奇裂跗步甲,鞘翅目,Q33,#8700d7
310,麦穗斑步甲,鞘翅目,Q34,#8700ff
311,奥氏弩萤,鞘翅目,Q35,#875f00
312,药材甲,鞘翅目,Q36,#875f5f
313,蓝弗叶甲,鞘翅目,Q37,#875f87
314,四斑尖角伪瓢虫,鞘翅目,Q38,#875faf
315,黄缘龙虱,鞘翅目,Q39,#875fd7
316,梳爪叩甲属,鞘翅目,Q40,#875fff
317,隆线梭腹牙甲,鞘翅目,Q41,#878700
318,绿缘扁角叶甲,鞘翅目,Q42,#87875f
319,象甲科,鞘翅目,Q43,#878787
320,蠼螋科,革翅目,GE2,#8787af
321,鞘翅目,鞘翅目,Q44,#8787d7
322,稻蓟马,缨翅目,Y1,#8787ff
323,六刺素猎蝽,半翅目,B29,#87af00
324,网目拟地甲,鞘翅目,Q45,#87af5f
325,萤科,鞘翅目,Q46,#87af87
326,凹跗青步甲,鞘翅目,Q47,#87afaf
327,中华婪步甲,鞘翅目,Q48,#87afd7
328,隆线异土甲,鞘翅目,Q49,#87afff
329,云纹虎甲,鞘翅目,Q50,#87d700
330,八星粉天牛,鞘翅目,Q51,#87d75f
331,镜面虎甲,鞘翅目,Q52,#87d787
332,镇江细腹食虫虻,双翅目,S3,#87d7af
333,大蚊科,双翅目,S4,#87d7d7
334,眼蕈蚊科,双翅目,S5,#87d7ff
335,园蛛属,蛛形纲,ZXG3,#87ff00
336,蝇科,双翅目,S6,#87ff5f
337,长绿飞虱,半翅目,B30,#87ff87
338,派罗飞虱属,半翅目,B31,#87ffaf
339,飞虱科,半翅目,B32,#87ffd7
340,粗鬃驼舞虻,双翅目,S7,#87ffff
341,巢蛾科,鳞翅目,L211,#af0000
342,卫矛巢蛾,鳞翅目,L212,#af005f
343,舞毒蛾,鳞翅目,L213,#af0087
344,朽木甲科,鞘翅目,Q53,#af00af
346,蓼飞虱,半翅目,B34,#af00ff
347,广狭啮,啮虫目,N1,#af5f00
348,白条飞虱,半翅目,B35,#af5f5f
349,深色长头飞虱,半翅目,B36,#af5f87
350,玉米花翅飞虱,半翅目,B37,#af5faf
351,白脊飞虱,半翅目,B38,#af5fd7
352,长蝽科,半翅目,B39,#af5fff
353,牧草盲蝽,半翅目,B40,#af8700
354,烟翅白背飞虱,半翅目,B41,#af875f
355,锥头叶蝉属,半翅目,B42,#af8787
356,大青叶蝉,半翅目,B43,#af87af
357,姬缘蝽科,半翅目,B44,#af87d7
358,丽草蛉,脉翅目,M2,#af87ff
359,草螟科,鳞翅目,L214,#afaf00
360,齿螟蛾,鳞翅目,L215,#afaf5f
361,粘夜蛾属,鳞翅目,L216,#afaf87
362,白斑陌夜蛾,鳞翅目,L217,#afafaf
363,流夜蛾属,鳞翅目,L218,#afafd7
364,杉温冬夜蛾,鳞翅目,L219,#afafff
365,艳夜蛾属,鳞翅目,L220,#afd700
366,曲粘夜蛾,鳞翅目,L221,#afd75f
367,粉斑赤金尺蛾,鳞翅目,L222,#afd787
369,线天蛾属,鳞翅目,L224,#afd7d7
371,优美葩苔蛾,鳞翅目,L226,#afff00
372,广鹿蛾,鳞翅目,L227,#afff5f
373,亚洲玉米螟,鳞翅目,L228,#afff87
374,豆荚野螟,鳞翅目,L229,#afffaf
375,裂缘野螟,鳞翅目,L330,#afffd7
376,后夜蛾,鳞翅目,L331,#afffff
377,升麻裳夜蛾,鳞翅目,L332,#d70000
380,白背斑蠹蛾,鳞翅目,L335,#d700af
381,点夜蛾属,鳞翅目,L336,#d700d7
382,苹果蠹蛾,鳞翅目,L337,#d700ff
383,华小卷蛾属,鳞翅目,L338,#d75f00
384,干纹夜蛾,鳞翅目,L339,#d75f5f
385,标俚夜蛾,鳞翅目,L340,#d75f87
386,灰直纹螟,鳞翅目,L341,#d75faf
387,灰巢螟,鳞翅目,L342,#d75fd7
388,稻暗水螟,鳞翅目,L343,#d75fff
389,黄星雪灯蛾,鳞翅目,L344,#d78700
390,薄纱毒蛾,鳞翅目,L345,#d7875f
391,疆夜蛾,鳞翅目,L346,#d78787
392,日本通草蛉,脉翅目,M4,#d787af
393,瓢虫科,鞘翅目,Q54,#d787d7
394,马铃薯瓢虫,鞘翅目,Q55,#d787ff
395,垫甲属,鞘翅目,Q56,#d7af00
396,眼斑沟芫菁,鞘翅目,Q57,#d7af5f
397,华武粪金龟,鞘翅目,Q58,#d7af87
398,白星花金龟,鞘翅目,Q59,#d7afaf
400,大绿异丽金龟,鞘翅目,Q61,#d7afff
401,扁莱步甲,鞘翅目,Q62,#d7d700
402,木色玛绢金龟,鞘翅目,Q63,#d7d75f
403,筛胸梳爪叩甲,鞘翅目,Q64,#d7d787
404,莱氏猛叩甲,鞘翅目,Q65,#d7d7af
405,窄肾长须夜蛾,鳞翅目,L347,#d7d7d7
406,蚊科,双翅目,S8,#d7d7ff
407,茶毛虫细颚姬蜂,膜翅目,MO8,#d7ff00
408,钩努褐蛉,脉翅目,M3,#d7ff5f
409,中华地鳖,蜚蠊目,FL2,#d7ff87
410,中华曲苔蛾,鳞翅目,L348,#d7ffaf
411,灰斑豆天蛾,鳞翅目,L349,#d7ffd7
412,黑长喙天蛾,鳞翅目,L350,#d7ffff
413,栗六点天蛾,鳞翅目,L351,#ff0000
414,尺蛾科,鳞翅目,L352,#ff005f
415,沼泽大蚊,双翅目,S9,#ff0087
416,短额负蝗,直翅目,Z6,#ff00af
417,三眼新草螽,直翅目,Z7,#ff00d7
418,线刺蛾属,鳞翅目,L354,#000000
419,蜂巢螟,鳞翅目,L355,#000000
420,大地老虎,鳞翅目,L356,#002aff
421,中华晓扁犀金龟,鞘翅目,Q66,#000000
422,步甲科,鞘翅目,Q67,#000000
423,独角仙,鞘翅目,Q68,#000000
424,花胫绿纹蝗,直翅目,Z8,#000000
425,叶展须野螟,鳞翅目,L357,#000000
426,小造桥虫,鳞翅目,L358,#000000
427,闪光玫灯蛾,鳞翅目,L359,#ff33a5
428,格庶尺蛾,鳞翅目,L360,#000000
429,灰双线刺蛾,鳞翅目,L361,#000000
430,白杨缀叶野螟,鳞翅目,L362,#000000
431,波纹蛾,鳞翅目,L363,#ff0000
432,泥污灯蛾,鳞翅目,L364,#007bff
433,环夜蛾,鳞翅目,L365,#2bff00
434,胡麻斑红灯蛾,鳞翅目,L366,#21555f
435,鹰夜蛾,鳞翅目,L367,#000000
436,青背斜纹天蛾,鳞翅目,L368,#000000
437,枣奕刺蛾,鳞翅目,L369,#006eff
463,锥飞虱亚科,半翅目,B46,#afd700
464,粒脉蜡蝉科,半翅目,B47,#afd75f
465,花翅飞虱属,半翅目,B48,#afd787
466,楝白小叶蝉,半翅目,B49,#afd7d7
467,凹缘菱纹叶蝉,半翅目,B50,#afff00
468,十紫二叉叶蝉,半翅目,B51,#ff5fd7
469,丽中带飞虱,半翅目,B52,#ff5fff
470,黑边梅塔飞虱,半翅目,B53,#ff8700
471,稻绿缘蝽属,半翅目,B54,#afd700
472,小蜡绢须野螟,鳞翅目,L371,#afd75f
473,朝尺蛾,鳞翅目,L372,#afd787
474,波斜带尺蛾,鳞翅目,L373,#afd7d7
475,落叶松毛虫,鳞翅目,L374,#afff00
476,黑斑始夜蛾,鳞翅目,L375,#ff5fd7
477,双斑青步甲,鞘翅目,Q69,#ff5fff
478,黑尾六角步甲,鞘翅目,Q70,#ff8700
479,丝绵木金星尺蛾,鳞翅目,L376,#000000
480,铜丽绿金龟-废弃,鞘翅目,Q71,#b02727
481,蚱蜢,直翅目,Z9,#000000
482,白翅叶蝉,半翅目,B55,#00005f
483,稻水象甲,鞘翅目,Q73,#000087
485,顶捎卷叶蛾,鳞翅目,L377,#0000af
486,柳杉长卷蛾,鳞翅目,L378,#0000d7
487,刚竹毒蛾,鳞翅目,L379,#0000ff
488,竹舟蛾,鳞翅目,L380,#005f00
489,稠李枯叶蛾,鳞翅目,L381,#005f5f
490,薄翅天牛,鞘翅目,Q74,#005f87
491,银灰翅刺蛾,鳞翅目,L382,#005faf
492,刺蛾科,鳞翅目,L383,#005fd7
493,银灰带刺蛾,鳞翅目,L384,#005fff
494,星雪灯蛾属,鳞翅目,L385,#008700
495,金星尺蛾属,鳞翅目,L386,#00875f
496,黄缘苔蛾,鳞翅目,L387,#008787
497,草螟蛾,鳞翅目,L388,#0087af
498,白螟,鳞翅目,L389,#0087d7
499,缘黄毒蛾,鳞翅目,L390,#0087ff
500,太平粉翠夜蛾,鳞翅目,L391,#00af00
501,草潜蛾,鳞翅目,L392,#00af5f
502,日月明夜蛾,鳞翅目,L393,#00af87
504,朝线夜蛾,鳞翅目,L394,#00afaf
505,多斑豹蠹蛾,鳞翅目,L395,#00afd7
506,茶须野螟,鳞翅目,L396,#00afff
507,白翅黑点灯蛾,鳞翅目,L397,#00d700
508,连斑水螟,鳞翅目,L398,#00d75f
509,蕨夜蛾,鳞翅目,L399,#00d787
510,竹黄枯叶蛾,鳞翅目,L400,#00d7af
511,稻苞虫,鳞翅目,L401,#00d7d7
512,斜纹天蛾,鳞翅目,L402,#00d7ff
513,萝藦艳青尺蛾,鳞翅目,L403,#00ff00
514,肖浑黄灯蛾,鳞翅目,L404,#00ff5f
515,斑蛾,鳞翅目,L405,#00ff87
516,构树绢野螟蛾,鳞翅目,L406,#00ffaf
517,大斑波纹蛾,鳞翅目,L407,#00ffd7
518,黄黑纹野螟,鳞翅目,L408,#00ffff
519,涟纷舟蛾,鳞翅目,L409,#5f0000
520,青黄枯叶蛾,鳞翅目,L410,#5f005f
521,梨刺蛾,鳞翅目,L411,#5f0087
522,八字褐刺蛾,鳞翅目,L412,#5f00af
524,黄星步行虫,鞘翅目,Q75,#5f00d7
525,屁步甲,鞘翅目,Q76,#5f00ff
527,黄胸丽步甲,鞘翅目,Q77,#5f5f00
528,黄星斑天牛,鞘翅目,Q78,#5f5f5f
529,四斑露尾甲,鞘翅目,Q79,#5f5f87
530,蝼步甲,鞘翅目,Q80,#5f5faf
531,土蝽,半翅目,B56,#5f5fd7
532,圆纹广翅蜡蝉,半翅目,B57,#5f5fff
533,透翅疏广蜡蝉,半翅目,B58,#5f8700
535,日月盗猎蝽,半翅目,B59,#5f875f
536,碧蛾蜡蝉,半翅目,B60,#5f8787
537,白痣广翅蜡蝉,半翅目,B61,#5f87af
538,划蝽,半翅目,B62,#5f87d7
540,东方巨齿蛉,脉翅目,M5,#5f87ff
541,大蚊,双翅目,S10,#5faf00
542,石蚕蛾,鳞翅目,L413,#5faf5f
543,短丝蜉,蜉蝣目,FY2,#5faf87
544,黑翅土白蚁,双翅目,S81,#5fafaf
546,大牙甲,鞘翅目,Q81,#5fafd7
547,斜波带尺蛾,鳞翅目,L414,#5fafff
548,芫天牛,鞘翅目,Q82,#5fd700
549,巨扒尺蛾,鳞翅目,L415,#5fd75f
550,短栉夜蛾,鳞翅目,L416,#5fd787
551,三色星灯蛾,鳞翅目,L417,#5fd7af
